ID,CreditScore,DebtRatio,Assets,Age,NumberOfDependents,NumberOfOpenCreditLinesAndLoans,MonthlyIncome,NumberOfTimesPastDue,EmploymentLength,HomeOwnership,Education,MaritalStatus,YearsAtCurrentAddress,NoPaidPerc,RiesgoPagAtrazo
1,384,0.0165600716526475,37950,20,0,2,17355,9,28,Mortgage,Bachelor,Divorced,18,0.19656637,Riesgo medio
2,516,0.1388254602981935,22909,46,5,8,7175,13,0,Rent,Bachelor,Married,9,0.2644376,Riesgo alto
3,638,0.3911487278164464,126521,80,5,7,1910,6,25,Rent,Bachelor,Single,9,0.28756785,Riesgo medio
4,363,0.4635208582708384,39543,54,9,0,19339,5,22,Own,High School,Widowed,3,0.18134822,Riesgo medio
5,804,0.5048240925979235,38522,72,1,10,7928,18,19,Own,PhD,Married,5,0.34337643,Riesgo muy alto
6,677,0.2979061168311544,90725,81,2,12,12544,18,16,Mortgage,Bachelor,Widowed,8,0.24908046,Riesgo muy alto
7,762,0.9564537353789224,29165,58,3,7,19569,11,26,Own,High School,Divorced,8,0.27579767,Riesgo alto
8,737,0.479046981473649,34979,63,6,12,2904,8,15,Mortgage,High School,Widowed,20,0.15640634,Riesgo medio
9,692,0.8913242803068694,32533,75,3,10,3748,1,7,Own,Masters,Widowed,26,0.20831849,Riesgo bajo
10,481,0.1193026762903878,166969,46,5,16,10173,7,14,Own,Bachelor,Married,15,0.2870989,Riesgo medio
11,676,0.6118008639865199,189324,24,7,1,16173,10,5,Rent,Bachelor,Divorced,13,0.19305047,Riesgo medio
12,777,0.848085681881443,111233,29,4,12,7268,8,11,Own,Masters,Single,20,0.25259054,Riesgo medio
13,310,0.2186915500985423,198397,79,4,8,18157,17,3,Rent,Bachelor,Divorced,26,0.23404899,Riesgo muy alto
14,500,0.7522956248957041,110399,58,0,6,17239,0,16,Mortgage,Masters,Divorced,22,0.24081005,Sin riesgo
15,411,0.4429300904574954,56459,28,7,4,17639,11,4,Rent,High School,Widowed,21,0.15996672,Riesgo alto
16,331,0.6437690896872789,23026,78,7,4,13546,11,10,Rent,Masters,Divorced,22,0.1980462,Riesgo alto
17,491,0.6561839981809778,32932,18,6,17,11958,16,24,Rent,Bachelor,Single,13,0.28943318,Riesgo muy alto
18,358,0.096489558142692,127415,88,9,11,12245,5,17,Mortgage,Masters,Married,9,0.23103149,Riesgo medio
19,741,0.0457293354105406,101537,48,7,5,10302,17,9,Mortgage,PhD,Divorced,6,0.20441972,Riesgo muy alto
20,732,0.5323139674561232,76570,26,5,8,17730,7,10,Rent,High School,Widowed,10,0.0,Riesgo medio
21,445,0.6479965293874365,195998,88,3,7,15752,14,14,Rent,Masters,Married,25,0.25037527,Riesgo alto
22,315,0.7474985228445328,135150,88,8,17,14396,4,28,Rent,Masters,Married,11,0.2737526,Riesgo bajo
23,514,0.1651513601070592,30940,62,2,6,4719,17,5,Rent,PhD,Widowed,11,0.19453251,Riesgo muy alto
24,322,0.1458596246418831,153429,87,8,3,19573,13,12,Rent,Bachelor,Single,23,0.25858483,Riesgo alto
25,505,0.5056497188536334,129823,57,2,4,10809,16,7,Rent,Bachelor,Single,26,0.2726725,Riesgo muy alto
