ID,CreditScore,DebtRatio,Assets,Age,NumberOfDependents,NumberOfOpenCreditLinesAndLoans,MonthlyIncome,NumberOfTimesPastDue,EmploymentLength,HomeOwnership,Education,MaritalStatus,YearsAtCurrentAddress,NewLoanApplication,RiesgoPagAtrazo,probNoPago,Segment,int_rc_Segment,int_rc
10001,737,0.479046981473649,34979,63,6,12,2904,8,15,Mortgage,High School,Widowed,20,37752.0,Riesgo medio,0.17058516189126205,Riesgo bajo,0.03,0.18000000000000002
10002,411,0.4429300904574954,56459,28,7,4,17639,11,4,Rent,High School,Widowed,21,52917.0,Riesgo alto,0.11099742948341038,Riesgo bajo,0.03,0.18000000000000002
10003,732,0.5323139674561232,76570,26,5,8,17730,7,10,Rent,High School,Widowed,10,106380.0,Riesgo medio,0.0915891640060752,Sin riesgo,0.01,0.16000000000000003
10004,710,0.295540978309909,86752,51,8,16,7166,16,18,Mortgage,Masters,Widowed,17,35830.0,Riesgo muy alto,0.10471642872330647,Riesgo bajo,0.03,0.18000000000000002
10005,848,0.2483777846419732,102286,29,4,8,4688,16,1,Own,High School,Widowed,26,32816.0,Riesgo muy alto,0.10800963225705666,Riesgo bajo,0.03,0.18000000000000002
10006,828,0.3431732780464748,72326,66,9,7,4809,13,27,Mortgage,High School,Divorced,9,57708.0,Riesgo alto,0.188302089314319,Riesgo bajo,0.03,0.18000000000000002
10007,433,0.6888419576261036,117902,43,8,0,17240,15,13,Mortgage,Masters,Divorced,3,103440.0,Riesgo muy alto,0.16610255946480926,Riesgo bajo,0.03,0.18000000000000002
10008,624,0.0079853559775933,152049,34,5,7,12710,9,2,Rent,High School,Widowed,14,139810.0,Riesgo medio,0.030731952144630866,Sin riesgo,0.01,0.16000000000000003
10009,685,0.0912461864297545,110153,65,7,7,10950,4,28,Rent,Masters,Divorced,1,229950.0,Riesgo bajo,0.1741073822037991,Riesgo bajo,0.03,0.18000000000000002
10010,502,0.1230414873907888,156750,49,6,5,13097,3,7,Own,High School,Divorced,16,248843.0,Riesgo bajo,0.18291308715516735,Riesgo bajo,0.03,0.18000000000000002
