ID,int_rc
10001,0.18
10002,0.18
10003,0.16
10004,0.18
10005,0.18
10006,0.18
10007,0.18
10008,0.16
10009,0.18
10010,0.18
10011,0.16
10012,0.18
10013,0.16
10014,0.16
10015,0.18
10016,0.18
10017,0.18
10018,0.16
10019,0.18
10020,0.18
10021,0.18
10022,0.18
10023,0.18
10024,0.18
10025,0.16
10026,0.18
10027,0.18
10028,0.18
10029,0.18
10030,0.18
10031,0.18
10032,0.18
10033,0.18
10034,0.18
10035,0.18
10036,0.18
10037,0.18
10038,0.16
10039,0.18
10040,0.16
10041,0.16
10042,0.18
10043,0.18
10044,0.16
10045,0.18
10046,0.16
10047,0.18
10048,0.18
10049,0.18
10050,0.16
10051,0.18
10052,0.18
10053,0.18
10054,0.18
10055,0.18
10056,0.18
10057,0.16
10058,0.18
10059,0.16
10060,0.16
10061,0.18
10062,0.16
10063,0.16
10064,0.18
10065,0.18
10066,0.18
10067,0.16
10068,0.18
10069,0.18
10070,0.18
10071,0.18
10072,0.18
10073,0.18
10074,0.16
10075,0.18
10076,0.18
10077,0.18
10078,0.18
10079,0.18
10080,0.18
10081,0.18
10082,0.18
10083,0.18
10084,0.18
10085,0.18
10086,0.18
10087,0.18
10088,0.18
10089,0.18
10090,0.18
10091,0.18
10092,0.16
10093,0.18
10094,0.16
10095,0.18
10096,0.18
10097,0.16
10098,0.18
10099,0.16
10100,0.18
10101,0.16
10102,0.18
10103,0.18
10104,0.18
10105,0.16
10106,0.16
10107,0.18
10108,0.18
10109,0.16
10110,0.16
10111,0.18
10112,0.18
10113,0.18
10114,0.18
10115,0.18
10116,0.18
10117,0.18
10118,0.18
10119,0.16
10120,0.18
10121,0.18
10122,0.16
10123,0.18
10124,0.16
10125,0.16
10126,0.18
10127,0.16
10128,0.18
10129,0.18
10130,0.16
10131,0.18
10132,0.18
10133,0.16
10134,0.18
10135,0.16
10136,0.18
10137,0.16
10138,0.18
10139,0.18
10140,0.18
10141,0.18
10142,0.18
10143,0.16
10144,0.18
10145,0.18
10146,0.18
10147,0.18
10148,0.18
10149,0.18
10150,0.18
10151,0.18
10152,0.18
10153,0.18
10154,0.18
10155,0.18
10156,0.16
10157,0.18
10158,0.18
10159,0.18
10160,0.18
10161,0.18
10162,0.18
10163,0.16
10164,0.16
10165,0.18
10166,0.16
10167,0.18
10168,0.18
10169,0.16
10170,0.16
10171,0.16
10172,0.18
10173,0.18
10174,0.18
10175,0.18
10176,0.18
10177,0.18
10178,0.18
10179,0.16
10180,0.18
10181,0.18
10182,0.18
10183,0.18
10184,0.16
10185,0.18
10186,0.18
10187,0.18
10188,0.16
10189,0.18
10190,0.18
10191,0.18
10192,0.18
10193,0.18
10194,0.18
10195,0.18
10196,0.18
10197,0.18
10198,0.16
10199,0.18
10200,0.18
10201,0.16
10202,0.16
10203,0.16
10204,0.18
10205,0.16
10206,0.16
10207,0.16
10208,0.18
10209,0.16
10210,0.16
10211,0.18
10212,0.18
10213,0.16
10214,0.16
10215,0.18
10216,0.18
10217,0.16
10218,0.18
